1845,tropical zone,熱帯
1846,sympathy,同情
1847,animate,活気づける
1848,levy,徴収する
1849,menace,脅迫
1850,touchy,厄介な
1851,commitment,責務
1852,startle,驚かせる
1853,overtime,時間外労働
1854,haphazard,でたらめの
1855,apprehend,懸念する
1856,methodical,整然とした
1857,ostrich,ダチョウ
1858,linguistics,言語学
1859,proximity,近接
1860,consequently,その結果
1861,maple,カエデ
1862,linear,線形の
1863,pumpkin,カボチャ
1864,per capita,一人当たりの
1865,inflate,膨らませる
1866,peril,危険
1867,awe,畏敬
1868,obituary,死亡記事
1869,stagnant,よどんだ
1870,divergent,異なる
1871,obsess,悩ます
1872,acquire,習得する
1873,disposal,配置
1874,falcon,ハヤブサ
1875,ginger,ショウガ
1876,prohibit,禁止する
1877,tangle,混乱させる
1878,eradicate,根絶する
1879,mercantile,商業の
1880,disdain,軽蔑する
1881,meteorology,気象学
1882,reminiscence,回想
1883,collaborate,共同して働く
1884,pacifist,平和主義者
1885,ascend,上昇する
1886,oust,（権利などを）取り上げる
1887,constituency,有権者
1888,curator,(図書館などの）館長
1889,bewilder,当惑させる
1890,part-time,パートタイムの
1891,obsolete,古くなった
1892,dough,パン生地
1893,fleet,艦隊
1894,compile,編集する
1895,inscribe,（文字などを）刻む
1896,rebut,反論する
1897,ignite,点火する
1898,furor,熱狂
1899,phonetic,音声上の
1900,pathology,病理学
1901,precaution,予防
1902,condone,許す
1903,remit,送金する
1904,withhold,差し控える
1905,attribute,（原因などを）～のせいにする
1906,personable,感じのよい
1907,contingency,偶然性
1908,viable,実行可能な
1909,eulogy,賛辞
1910,quota,割り当て
1911,lofty,崇高な
1912,retiring,内気な
1913,luminous,光り輝く
1914,virus,ウイルス
1915,foreshadow,～の前兆となる
1916,collective,集団的な
1917,deplore,非難する
1918,tantalize,じらす
1919,yell,叫び声をあげる
1920,gauze,ガーゼ
1921,intricate,複雑な
1922,succinct,簡潔な
1923,mandate,命令
1924,octopus,タコ
1925,legacy,遺産
1926,compound,複合
1927,pragmatic,実践的な
1928,bracket,階層区分
1929,precipitous,険しい
1930,plaintiff,原告
1931,presumption,推測
1932,blink,ちらっと見る
1933,superb,素晴らしい
1934,submerge,水に浸す
1935,shed,小屋
1936,solemn,荘厳な
1937,deplete,（資源などを）消耗する
1938,footnote,脚注
1939,frail,ひ弱な
1940,revenue,収入
1941,stray,それる
1942,relic,遺跡
1943,contagious,感染性の
1944,turbulence,大荒れ
1945,stoop,かがむ
1946,intestine,腸
1947,tariff,関税
1948,diffuse,散らす
1949,elusive,理解しにくい
1950,tame,説教する
1951,conscience,良心
1952,languish,しぼむ
1953,diarrhea,下痢
1954,attest,証明する
1955,cardinal,主要な
1956,merger,合併
1957,install,取り付ける
1958,deputy,代理（人）
1959,humility,謙遜
1960,stoke,燃料をくべる
1961,abolish,廃止する
1962,cruel,残酷な
1963,specimen,標本
1964,standpoint,見地
1965,fusion,融解
1966,ponder,熟考する
1967,gnaw,かじる
1968,verdict,評決
1969,peacock,クジャク
1970,hangover,二日酔い
1971,denounce,非難する
1972,acme,極致、絶頂
1973,legend,伝説
1974,repent,後悔する
1975,perplex,当惑させる
1976,surcharge,追加料金
1977,incentive,刺激
1978,purge,取り除く
1979,radioactive,放射性のある
1980,anarchist,無政府主義者
1981,oxidize,酸化する
1982,nausea,吐き気
1983,pneumonia,肺炎
1984,Orient,東洋
1985,authoritarian,権威主義の
1986,installment,分割支払い
1987,inhale,吸い込む
1988,bash,たたく
1989,massacre,大虐殺
1990,virtue,徳
1991,tract,土地
1992,exploit,活用する
1993,degrade,（格や品位を）落とす
1994,nomad,遊牧民
1995,unprecedented,先例のない
1996,bully,弱い者いじめをする人
1997,homogeneous,均質の
1998,diminution,縮小
1999,Temperate Zone,温帯
2000,evasion,回避
2001,imaginative,想像力に富んだ
2002,concede,認める
2003,leverage,てこの作用
2004,shoddy,粗雑な
2005,sterilize,消毒する
2006,domain,領域
2007,aftereffect,余波
2008,melancholy,憂鬱
2009,allocate,割り当てる
2010,census,国勢調査
2011,resonant,朗々とした
2012,rebellion,謀反
2013,hail,ひょう
2014,hug,抱きしめる
2015,impair,損なう
2016,philanthropist,博愛主義者
2017,surge,波のように押し寄せる
2018,dynamics,力学
2019,embark,乗り出す
2020,mammoth,マンモス
2021,irrelevant,無関係の
2022,outlook,外観
2023,foresight,先見
2024,invert,転化する
2025,exile,追放
2026,terra,土
2027,imaginary,想像上の
2028,frigid,極寒の
2029,prosecution,起訴
2030,maxim,金言
2031,defiance,挑戦
2032,thrifty,つましい
2033,interim,中間
2034,prevalent,普及している
2035,reactor,原子炉
2036,refute,誤りであることを証明する
2037,hurl,投げつける
2038,jolt,（急激に）揺さぶる
2039,equity,公平
2040,fanaticism,熱狂
2041,intermittent,断続的な
2042,credibility,信用できること
2043,stalk,茎
2044,inception,(活動などの）開始
2045,stretcher,担架
2046,deference,服従
2047,oath,誓い
2048,eggplant,ナス
2049,doom,運命づける
2050,garlic,ニンニク
2051,wrath,激怒
2052,ascertain,確かめる
2053,outgoing,社交的な
2054,extol,褒めそやす
2055,flammable,可燃性の
2056,maternal,母親の
2057,vow,誓う
2058,compliance,追従
2059,conceit,うぬぼれ
2060,Brussels sprouts,(複数扱いで）芽キャベツ
2061,stake,くい
2062,staple,主要な
2063,dubious,いかがわしい
2064,smash,粉砕する
2065,shred,一片
2066,nuisance,害
2067,ardent,熱心な
2068,conviction,確信
2069,oak,オーク（樫の木など）
2070,resignation,辞職
2071,capricious,気まぐれな
2072,luminary,天体
2073,outset,着手
2074,authenticate,本物であると証明する
2075,finite,限定されている
2076,optician,眼鏡商
2077,astronomical,膨大な
2078,prototype,原型
2079,bowel,腸
2080,supreme,至高の
2081,lace,(靴などの）ひも
2082,anchor,いかりを下す
2083,exacerbate,悪化させる
2084,paralysis,まひ
2085,hoist,釣り上げる
2086,maneuver,作戦行動
2087,influenza,インフルエンザ
2088,subordinate,部下
2089,concur,意見が一致する
2090,desperate,必死の
2091,expedite,はかどらせる
2092,mentor,良き指導者
2093,rhinoceros,サイ
2094,render,与える
2095,rectify,改正する
2096,bean sprouts,(複数扱いで≫モヤシ
2097,cabin,小屋
2098,grotesque,奇抜な
2099,potent,力強い
2100,concession,譲歩
2101,coherent,首尾一貫した
2102,allotment,割り当て
2103,iceberg,氷山
2104,Neptune,海王星
2105,seclusion,隔離
2106,glossary,用語解説
2107,scrape,こすり取る
2108,lick,なめる
2109,soothe,和らげる
2110,particle,粒子
2111,definitive,最終的な
2112,sprinkle,(水を）まく
2113,devoid,～を欠いている
2114,rebel,反逆者
2115,rally,集会
2116,be clad with,～で覆われている
2117,invoke,呼び覚ます
2118,oblivion,忘却
2119,appraise,鑑定する
2120,amiable,愛想のよい
2121,despise,軽蔑する
2122,mineralogy,鉱物学
2123,appendix,付録
2124,thorn,とげ
2125,exhaustive,消耗させる
2126,itinerary,旅行日程表
2127,reclaimed land,埋立地
2128,scapegoat,他人の罪をかぶる人
2129,transplant,(臓器などの)移植
